Height.m,Flowrate.LPM,Trial,LiquidHoldupVolume.L
0.53,3,1.00,0.043086172
0.53,3,2.00,0.028056112
0.53,3,3.00,0.033066132
0.53,3,4.00,0.017034068
0.53,3,5.00,0.044088176
0.53,3,6.00,0.043086172
0.53,3,7.00,0.027054108
0.53,3,8.00,0.043086172
0.53,3,9.00,0.028056112
0.53,3,10.00,0.031062124
0.68,3,1.00,0.033066132
0.68,3,2.00,0.038076152
0.68,3,3.00,0.033066132
0.68,3,4.00,0.036072144
0.68,3,5.00,0.0501002
0.68,3,6.00,0.06012024
0.68,3,7.00,0.06012024
0.68,3,8.00,0.059118236
0.68,3,9.00,0.04509018
0.68,3,10.00,0.059118236
0.98,3,1.00,0.028056
0.98,3,2.00,0.044088
0.98,3,3.00,0.049098
0.98,3,4.00,0.037074
0.98,3,5.00,0.059118
0.98,3,6.00,0.047094
0.98,3,7.00,0.059118
0.98,3,8.00,0.067134
0.98,3,9.00,0.060120
0.98,3,10.00,0.051102
0.53,4.5,1.00,0.026052104
0.53,4.5,2.00,0.027054108
0.53,4.5,3.00,0.042084168
0.53,4.5,4.00,0.054108216
0.53,4.5,5.00,0.052104208
0.53,4.5,6.00,0.036072144
0.53,4.5,7.00,0.046092184
0.53,4.5,8.00,0.071142285
0.53,4.5,9.00,0.034068136
0.53,4.5,10.00,0.0501002
0.68,4.5,1.00,0.038076152
0.68,4.5,2.00,0.036072144
0.68,4.5,3.00,0.046092184
0.68,4.5,4.00,0.032064128
0.68,4.5,5.00,0.024048096
0.68,4.5,6.00,0.04509018
0.68,4.5,7.00,0.051102204
0.68,4.5,8.00,0.05511022
0.68,4.5,9.00,0.031062124
0.68,4.5,10.00,0.068136273
0.98,4.5,1.00,0.059118236
0.98,4.5,2.00,0.088176353
0.98,4.5,3.00,0.083166333
0.98,4.5,4.00,0.084168337
0.98,4.5,5.00,0.056112224
0.98,4.5,6.00,0.089178357
0.98,4.5,7.00,0.075150301
0.98,4.5,8.00,0.085170341
0.98,4.5,9.00,0.065130261
0.98,4.5,10.00,0.058116232
